fips,county,c2010,hhpop2010,gq2010,hh2010,hhsize2010,N2015,hhpop2015,gq2015,hh2015,hhsize2015,N2020,hhpop2020,gq2020,hh2020,hhsize2020,N2025,hhpop2025,gq2025,hh2025,hhsize2025,N2030,hhpop2030,gq2030,hh2030,hhsize2030,N2035,hhpop2035,gq2035,hh2035,hhsize2035,N2040,hhpop2040,gq2040,hh2040,hhsize2040
21135,Lewis,13870,13731,139,5497,2.49790795,13682,13543,139,5554,2.438423,13434,13295,139,5605,2.371989,13103,12964,139,5597,2.316241,12690,12551,139,5549,2.261849,12210,12071,139,5436,2.220567,11721,11582,139,5303,2.184047
21137,Lincoln,24742,24523,219,9777,2.508233609,24463,24244,219,9913,2.445677,24324,24104,220,10000,2.4104,24035,23814,221,10000,2.3814,23576,23354,222,9937,2.350206,22975,22752,223,9802,2.321159,22319,22095,224,9623,2.296062
21139,Livingston,9519,9450,69,3985,2.371392723,9316,9247,69,3945,2.34398,9131,9061,70,3909,2.317984,8889,8818,71,3839,2.296952,8572,8500,72,3728,2.280043,8223,8150,73,3593,2.2683,7879,7805,74,3462,2.254477
21141,Logan,26835,26558,277,10666,2.489968123,26910,26633,277,10794,2.467389,26890,26612,278,10907,2.439901,26770,26491,279,10943,2.420817,26494,26214,280,10930,2.398353,26078,25797,281,10842,2.379358,25618,25336,282,10751,2.356618
21143,Lyon,8314,7191,1123,3287,2.187709157,8306,7093,1213,3276,2.16514,8476,7240,1236,3420,2.116959,8602,7343,1259,3537,2.076053,8669,7386,1283,3612,2.044851,8697,7390,1307,3661,2.018574,8705,7374,1331,3696,1.99513
21145,McCracken,65565,64376,1189,28227,2.280653275,65018,63829,1189,28252,2.259274,65317,64108,1209,28619,2.24005,65487,64258,1229,28829,2.228936,65376,64126,1250,28983,2.212538,64918,63647,1271,28940,2.199274,64273,62980,1293,28847,2.183243
21147,McCreary,18306,16195,2111,6477,2.500385981,17878,15737,2141,6441,2.443254,17840,15659,2181,6571,2.383047,17630,15407,2223,6606,2.332274,17320,15054,2266,6630,2.270588,16929,14620,2309,6594,2.217167,16486,14133,2353,6529,2.16465
21149,McLean,9531,9449,82,3833,2.465170884,9512,9430,82,3832,2.460856,9274,9191,83,3783,2.429553,8980,8896,84,3691,2.410187,8642,8557,85,3602,2.375625,8289,8203,86,3481,2.356507,7942,7855,87,3374,2.328097
21151,Madison,82916,77221,5695,31973,2.41519407,87824,82070,5754,34248,2.396344,91774,85908,5866,36529,2.351775,95773,89793,5980,38793,2.31467,99688,93592,6096,40932,2.286524,103064,96849,6215,42829,2.261295,106301,99966,6335,44600,2.24139
21153,Magoffin,13333,13206,127,5309,2.487474101,12808,12681,127,5274,2.404437,12497,12370,127,5296,2.335725,12094,11967,127,5241,2.283343,11611,11484,127,5158,2.226444,11029,10902,127,4989,2.185207,10391,10264,127,4791,2.14235
21155,Marion,19820,18523,1297,7358,2.517396032,19365,18862,503,7680,2.45599,19640,19128,512,7984,2.395792,19824,19303,521,8237,2.34345,19929,19399,530,8431,2.300913,19961,19422,539,8605,2.25706,19909,19361,548,8701,2.225147
21157,Marshall,31448,30984,464,13073,2.370075729,31101,30637,464,13029,2.351447,31149,30678,471,13197,2.324619,31060,30582,478,13218,2.313663,30830,30345,485,13217,2.295907,30437,29945,492,13114,2.283437,29980,29481,499,12997,2.268293
21159,Martin,12929,11272,1657,4516,2.496014172,12307,10684,1623,4443,2.404681,11697,10043,1654,4304,2.333411,11059,9373,1686,4137,2.265651,10386,8668,1718,3922,2.210097,9686,7936,1750,3673,2.160632,8997,7214,1783,3403,2.119894
21161,Mason,17490,17192,298,7031,2.445171384,17099,16801,298,7000,2.400143,17106,16804,302,7071,2.376467,17074,16768,306,7145,2.346816,16941,16631,310,7156,2.324064,16725,16411,314,7133,2.300715,16448,16130,318,7059,2.285026
21163,Meade,28602,28390,212,10471,2.71129787,27924,27712,212,11004,2.518357,27395,27182,213,11401,2.384177,26780,26566,214,11725,2.265757,26025,25810,215,11856,2.176957,25127,24911,216,11825,2.106638,24068,23851,217,11641,2.048879
21165,Menifee,6306,6076,230,2440,2.490163934,6358,6087,271,2597,2.343858,6175,5900,275,2595,2.273603,5940,5661,279,2558,2.213057,5633,5350,283,2480,2.157258,5267,4980,287,2368,2.10304,4901,4610,291,2251,2.047979
21167,Mercer,21331,21203,128,8682,2.442179221,21407,21279,128,8863,2.40088,21389,21260,129,9028,2.354896,21255,21125,130,9083,2.325773,20962,20831,131,9057,2.299989,20539,20407,132,8968,2.275535,20040,19907,133,8849,2.249633
21169,Metcalfe,10099,9978,121,4055,2.460665845,9909,9788,121,4065,2.407872,9773,9651,122,4038,2.390045,9595,9472,123,3987,2.375721,9390,9266,124,3936,2.354167,9154,9029,125,3856,2.341546,8900,8774,126,3777,2.323008
21171,Monroe,10963,10820,143,4509,2.399645154,10667,10524,143,4421,2.380457,10291,10147,144,4310,2.354292,9896,9751,145,4164,2.341739,9474,9328,146,4008,2.327345,9021,8874,147,3835,2.313951,8567,8419,148,3663,2.298389
21173,Montgomery,26499,26142,357,10435,2.505222808,27608,27251,357,11078,2.459921,29421,29060,361,11824,2.457713,31241,30876,365,12606,2.44931,33051,32682,369,13346,2.448824,34810,34437,373,14120,2.438881,36571,36194,377,14884,2.431739
