,GEO_ID,name,rentersless30,renters3050,renters5080,renters80100,renters100up,ownersless30,owners3050,owners5080,owners80100,owners100up,runitsless30,runits3050,runits5080,runits80up,ounitsless50,ounits5080,ounits80100,ounits100up,less30rentgap,3050rentgap,80uprentgap,less50owngap,5080owngap,80100owngap,100upowngap
1898,05000US37017,"Bladen County, North Carolina",1604,709,820,499,853,1218,1054,1768,1784,4764,1175,1440,1635,234,5345,2043,1015,1619,429,-815,1118,-3073,-275,769,3145
1899,05000US37019,"Brunswick County, North Carolina",2828,1974,2855,1480,2995,3247,3446,6037,5609,23903,1835,3010,5280,1990,9340,9385,5605,18015,993,-2425,2485,-2647,-3348,4,5888
1900,05000US37021,"Buncombe County, North Carolina",6285,6930,8830,4860,11380,4154,6279,9780,9190,40069,5440,5975,14915,11950,11450,13325,11070,32360,845,-6085,4290,-1017,-3545,-1880,7709
1901,05000US37023,"Burke County, North Carolina",2265,2194,2269,774,2330,1710,2374,4024,3673,14144,2020,3020,4165,635,9674,6490,3705,5599,245,-1896,2469,-5590,-2466,-32,8545
1902,05000US37025,"Cabarrus County, North Carolina",4120,3940,5050,2474,4984,3285,4493,7079,6844,29459,2900,7105,8690,1895,14790,18175,6780,11075,1220,-3640,5563,-7012,-11096,64,18384
1903,05000US37027,"Caldwell County, North Carolina",1810,1849,2184,995,2290,1750,2140,3829,3529,12668,1400,3320,3855,545,8905,7135,3230,4058,410,-1671,2740,-5015,-3306,299,8610
1904,05000US37029,"Camden County, North Carolina",170,44,225,25,290,129,430,369,314,1855,175,100,280,200,810,485,790,960,-5,-55,115,-251,-116,-476,895
1905,05000US37031,"Carteret County, North Carolina",1680,1474,1489,820,2714,1536,2378,3414,2971,12439,1570,1660,3605,1360,4659,5460,3015,9505,110,-2116,2174,-745,-2046,-44,2934
1906,05000US37033,"Caswell County, North Carolina",840,445,354,109,395,308,925,1165,1230,3665,605,840,600,115,3400,1655,895,1395,235,-246,389,-2167,-490,335,2270
1907,05000US37035,"Catawba County, North Carolina",3210,3210,4200,2539,5345,1969,3319,4848,5083,27354,2380,3860,10295,1960,11499,11754,6040,13150,830,-6095,5924,-6211,-6906,-957,14204
1908,05000US37037,"Chatham County, North Carolina",2095,1455,1180,640,1325,2014,2239,2984,2995,11799,2265,2540,1395,505,5645,3920,2610,9605,-170,-215,1460,-1392,-936,385,2194
1909,05000US37039,"Cherokee County, North Carolina",453,388,442,313,637,865,975,1754,1620,4389,610,440,895,289,2490,2259,1550,3024,-157,-453,661,-650,-505,70,1365
1910,05000US37041,"Chowan County, North Carolina",449,384,135,200,420,244,379,874,723,2425,215,355,705,315,1535,1115,580,1240,234,-570,305,-912,-241,143,1185
1911,05000US37043,"Clay County, North Carolina",224,343,61,179,329,248,457,800,659,1990,320,230,460,115,880,994,680,1395,-96,-399,393,-175,-194,-21,595
1912,05000US37045,"Cleveland County, North Carolina",3210,2015,2585,1679,2848,2135,2580,3803,3713,14017,1835,3260,6160,1075,10520,7735,2988,4965,1375,-3575,3452,-5805,-3932,725,9052
1913,05000US37047,"Columbus County, North Carolina",2090,1305,1200,514,1445,1504,1994,2529,2379,8230,1625,2440,2080,400,8755,3350,1620,2499,465,-880,1559,-5257,-821,759,5731
1914,05000US37049,"Craven County, North Carolina",2585,2320,3075,2120,4810,1444,2014,3178,3183,16270,2110,2095,6725,3960,6547,7765,4160,8149,475,-3650,2970,-3089,-4587,-977,8121
1915,05000US37051,"Cumberland County, North Carolina",9450,8370,13355,7070,22710,4232,4149,7287,7266,41689,5085,6100,28700,21075,19820,19830,10235,16210,4365,-15345,8705,-11439,-12543,-2969,25479
1916,05000US37053,"Currituck County, North Carolina",338,534,345,205,285,530,685,1194,1069,4649,285,605,580,235,1690,1780,1685,3088,53,-235,255,-475,-586,-616,1561
1917,05000US37055,"Dare County, North Carolina",575,629,1185,699,1584,495,979,1493,1314,6488,545,525,2340,1260,942,1355,1385,7419,30,-1155,1023,532,138,-71,-931
1918,05000US37057,"Davidson County, North Carolina",4420,3065,4325,2270,4334,2420,4350,7519,6914,26915,2430,6940,7645,1375,14555,15545,5960,11595,1990,-3320,5229,-7785,-8026,954,15320
