NAME,B01003_001E,state,county
"Jackson County, Colorado",1335,08,057
"Jefferson County, Colorado",552344,08,059
"Kiowa County, Colorado",1463,08,061
"Kit Carson County, Colorado",7980,08,063
"Lake County, Colorado",7362,08,065
"La Plata County, Colorado",53182,08,067
"Larimer County, Colorado",318227,08,069
"Las Animas County, Colorado",14503,08,071
"Lincoln County, Colorado",5478,08,073
"Logan County, Colorado",21928,08,075
"Mesa County, Colorado",147834,08,077
"Mineral County, Colorado",733,08,079
"Moffat County, Colorado",13117,08,081
"Montezuma County, Colorado",25700,08,083
"Montrose County, Colorado",40815,08,085
"Morgan County, Colorado",28359,08,087
"Otero County, Colorado",18572,08,089
"Ouray County, Colorado",4580,08,091
"Park County, Colorado",16189,08,093
"Phillips County, Colorado",4371,08,095
"Pitkin County, Colorado",17420,08,097
"Prowers County, Colorado",12235,08,099
"Pueblo County, Colorado",161519,08,101
"Rio Blanco County, Colorado",6712,08,103
"Rio Grande County, Colorado",11745,08,105
"Routt County, Colorado",23606,08,107
"Saguache County, Colorado",6238,08,109
"San Juan County, Colorado",606,08,111
"San Miguel County, Colorado",7676,08,113
"Sedgwick County, Colorado",2365,08,115
"Summit County, Colorado",28940,08,117
"Teller County, Colorado",23340,08,119
"Washington County, Colorado",4795,08,121
"Weld County, Colorado",270948,08,123
"Yuma County, Colorado",10185,08,125
"Fairfield County, Connecticut",939983,09,001
"Hartford County, Connecticut",896943,09,003
"Litchfield County, Connecticut",186304,09,005
"Middlesex County, Connecticut",165165,09,007
"New Haven County, Connecticut",862224,09,009
"New London County, Connecticut",273185,09,011
"Tolland County, Connecticut",151948,09,013
"Windham County, Connecticut",117470,09,015
"Kent County, Delaware",169509,10,001
"New Castle County, Delaware",549643,10,003
"Sussex County, Delaware",207302,10,005
"District of Columbia, District of Columbia",647484,11,001
"Alachua County, Florida",254218,12,001
"Baker County, Florida",27135,12,003
"Bay County, Florida",175353,12,005
"Bradford County, Florida",27223,12,007
"Brevard County, Florida",553591,12,009
"Broward County, Florida",1843152,12,011
"Calhoun County, Florida",14615,12,013
"Charlotte County, Florida",165783,12,015
"Citrus County, Florida",139654,12,017
"Clay County, Florida",197417,12,019
"Collier County, Florida",341091,12,021
"Columbia County, Florida",67806,12,023
"DeSoto County, Florida",34957,12,027
"Dixie County, Florida",16091,12,029
"Duval County, Florida",890673,12,031
"Escambia County, Florida",306327,12,033
"Flagler County, Florida",100783,12,035
"Franklin County, Florida",11628,12,037
"Gadsden County, Florida",46424,12,039
"Gilchrist County, Florida",16992,12,041
"Glades County, Florida",13272,12,043
"Gulf County, Florida",15785,12,045
"Hamilton County, Florida",14395,12,047
"Hardee County, Florida",27468,12,049
"Hendry County, Florida",38363,12,051
"Hernando County, Florida",174809,12,053
"Highlands County, Florida",98328,12,055
"Hillsborough County, Florida",1302884,12,057
"Holmes County, Florida",19635,12,059
"Indian River County, Florida",142866,12,061
"Jackson County, Florida",48900,12,063
"Jefferson County, Florida",14198,12,065
"Lafayette County, Florida",8801,12,067
"Lake County, Florida",310561,12,069
"Lee County, Florida",663675,12,071
"Leon County, Florida",282940,12,073
"Levy County, Florida",39821,12,075
"Liberty County, Florida",8295,12,077
"Madison County, Florida",18729,12,079
"Manatee County, Florida",343729,12,081
"Marion County, Florida",336811,12,083
"Martin County, Florida",151586,12,085
"Miami-Dade County, Florida",2639042,12,086
"Monroe County, Florida",75901,12,087
"Nassau County, Florida",75880,12,089
"Okaloosa County, Florida",192237,12,091
"Okeechobee County, Florida",39255,12,093
"Orange County, Florida",1229039,12,095
"Osceola County, Florida",300870,12,097
"Palm Beach County, Florida",1378806,12,099
"Pasco County, Florida",479288,12,101
"Pinellas County, Florida",931477,12,103
"Polk County, Florida",626676,12,105
"Putnam County, Florida",72696,12,107
"St. Johns County, Florida",210495,12,109
"St. Lucie County, Florida",288006,12,111
"Santa Rosa County, Florida",161021,12,113
"Sarasota County, Florida",392038,12,115
"Seminole County, Florida",437346,12,117
"Sumter County, Florida",108501,12,119
"Suwannee County, Florida",43595,12,121
