,NAME,GEO_ID,2000,2010,2015
198,"Lake City city, Michigan",1600000US2644480,836,851,1071
199,"Marion village, Michigan",1600000US2651660,872,805,721
200,"Caspian city, Michigan",1600000US2613860,906,720,723
201,"Weidman CDP, Michigan",1600000US2685140,959,820,934
202,"Potterville city, Michigan",1600000US2666100,2617,2555,2612
203,"Sunfield village, Michigan",1600000US2677420,578,745,588
204,"Ferndale city, Michigan",1600000US2627880,19900,20286,20160
205,"Hazel Park city, Michigan",1600000US2637420,16422,16876,16600
206,"Lincoln Park city, Michigan",1600000US2647800,38144,38595,37362
207,"Farmington city, Michigan",1600000US2627380,10372,10380,10509
208,"Lost Lake Woods CDP, Michigan",1600000US2649450,312,330,344
209,"Brighton city, Michigan",1600000US2610620,7444,7500,7555
210,"Galien village, Michigan",1600000US2631300,549,542,562
211,"Lake Michigan Beach CDP, Michigan",1600000US2644820,1216,1098,1167
212,"Elsie village, Michigan",1600000US2625780,966,884,1080
213,"Clifford village, Michigan",1600000US2616420,324,348,329
214,"Norway city, Michigan",1600000US2659220,2845,2896,2820
215,"Columbiaville village, Michigan",1600000US2617460,787,834,800
216,"Turner village, Michigan",1600000US2680820,114,124,82
217,"Ovid city, Michigan",1600000US2661860,,1796,1596
218,"Newaygo city, Michigan",1600000US2657080,1976,2081,1870
219,"Byron Center CDP, Michigan",1600000US2612280,5822,5044,6391
220,"Forest Hills CDP, Michigan",1600000US2629580,25867,25428,27415
221,"Richmond city, Michigan",1600000US2668380,5735,5630,5825
222,"St. Clair city, Michigan",1600000US2670680,5485,5634,5394
223,"Powers village, Michigan",1600000US2666140,422,327,484
224,"Center Line city, Michigan",1600000US2614320,8257,8374,8306
225,"Romeo village, Michigan",1600000US2669400,3596,3440,3799
226,"Robin Glen-Indiantown CDP, Michigan",1600000US2668990,722,917,1045
227,"Au Gres city, Michigan",1600000US2604120,889,902,832
228,"Omer city, Michigan",1600000US2660660,313,336,315
229,"Beaverton city, Michigan",1600000US2606660,1071,1050,1019
230,"Breckenridge village, Michigan",1600000US2610160,1328,1443,1180
231,"Frankfort city, Michigan",1600000US2630260,1286,1427,1396
232,"Ironwood city, Michigan",1600000US2641060,5387,5490,5153
233,"Coleman city, Michigan",1600000US2617100,1243,1206,1291
234,"Howard City village, Michigan",1600000US2639500,1808,1612,1724
235,"Chickamaw Beach city, Minnesota",1600000US2711296,114,150,128
236,"Lake Shore city, Minnesota",1600000US2734928,1004,1213,1025
237,"Longville city, Minnesota",1600000US2738114,156,143,92
238,"Hutchinson city, Minnesota",1600000US2730644,14178,14188,13941
239,"Ogilvie city, Minnesota",1600000US2748166,369,395,427
240,"St. Clair city, Minnesota",1600000US2756824,868,755,896
241,"Skyline city, Minnesota",1600000US2760754,289,328,340
242,"Carver city, Minnesota",1600000US2710144,3724,3337,4136
